GenAspId;Vector;Pest;Toxins;Allergens;AntFact;InvSp;Phobia;Stigma
1;0;2;0;0;0;1;2;1
2;0;1;1;0;1;0;1;0
3;1;1;0;3;0;0;3;3
4;1;1;0;3;0;0;3;3
5;0;2;1;0;0;2;2;1
6;0;1;0;0;0;0;1;0
7;0;1;0;0;1;0;2;0
8;0;3;1;1;0;2;2;3
9;0;1;0;0;0;1;2;1
10;0;0;0;2;0;1;2;0
11;0;0;0;0;0;0;2;0
12;0;1;0;0;0;0;1;0
13;1;1;0;2;0;2;2;3
14;0;2;0;0;0;3;2;3
15;0;0;0;0;0;0;2;1
16;0;2;1;1;0;1;2;1
17;0;0;3;0;0;0;3;2
18;0;0;2;1;0;0;2;2
19;0;2;0;0;0;0;3;1
20;0;2;0;0;0;0;3;1
21;0;2;0;0;0;0;3;1
22;0;2;0;0;0;0;3;1
23;0;2;0;0;0;0;3;1
24;0;3;2;2;1;0;3;1
25;0;1;0;0;0;0;2;1
26;0;2;2;1;0;0;2;1
27;0;2;2;1;0;0;2;1
28;0;3;1;0;1;2;2;1
29;0;3;0;0;0;2;2;1
30;0;0;0;0;0;1;2;1
31;0;3;0;0;0;2;1;1
32;0;0;0;2;0;0;1;1
33;0;1;0;2;0;0;2;1
34;0;0;1;0;0;0;1;1
35;1;0;1;2;0;2;3;1
36;0;2;2;0;1;1;2;2
37;0;0;0;0;0;0;1;0
38;0;2;0;0;0;0;3;1
39;0;0;0;0;0;0;3;1
40;0;2;2;0;1;0;2;1
41;0;2;2;0;1;0;1;1
42;0;0;2;0;1;0;2;2
43;0;0;0;0;0;0;0;0
44;0;3;0;1;0;2;2;1
45;0;2;1;1;0;0;2;1
46;0;0;3;0;0;0;3;0
47;0;0;2;2;1;0;2;0
48;0;0;2;1;1;2;2;1
49;0;0;1;2;1;0;1;1
50;0;3;1;1;1;2;1;2
51;0;3;0;0;0;0;1;2
52;0;3;1;1;0;2;2;3
53;0;3;2;0;1;2;1;2
54;0;0;3;0;0;3;2;0
55;0;0;1;0;1;0;1;2
56;0;3;2;1;1;3;2;3
57;0;3;2;2;2;2;1;1
58;1;0;1;2;0;0;3;1
59;0;1;2;2;1;2;2;2
60;1;1;1;2;1;2;2;2
61;1;1;1;2;1;2;2;2
62;1;1;1;2;1;2;2;2
63;0;2;0;0;0;0;2;2
64;0;0;2;0;1;0;3;3
65;0;1;1;1;1;0;2;2
66;0;1;1;1;1;0;2;2
67;0;3;2;1;1;2;2;1
68;0;3;0;0;0;1;2;1
69;1;0;1;1;1;2;2;3
70;0;1;3;0;1;0;1;3
71;0;3;0;0;0;3;2;3
72;0;3;1;0;1;0;1;3
73;0;3;0;0;0;3;3;3
74;0;3;0;0;0;3;3;3
75;0;3;0;0;0;0;2;2
76;0;3;0;0;0;3;3;3
77;0;3;0;0;0;3;3;2
78;0;3;2;0;2;1;3;2
79;0;0;3;0;3;3;0;0
80;0;2;3;1;1;2;1;2
81;0;0;0;0;1;0;0;0
82;0;1;0;1;1;0;2;2
83;0;2;3;1;1;0;2;2
84;0;2;3;1;1;0;2;2
85;0;2;1;2;1;0;3;2
86;0;2;0;0;0;0;3;2
87;0;3;0;0;0;0;1;1
88;0;0;0;2;0;0;1;2
89;0;0;0;0;0;0;1;2
90;0;0;0;0;0;0;3;3
91;0;1;2;1;1;0;1;1
92;1;2;0;1;0;2;2;2
93;1;2;0;1;0;2;2;2
94;0;3;0;0;0;0;1;1
95;0;2;0;0;0;0;2;2
96;0;2;0;0;0;0;2;1
97;0;0;2;1;2;0;2;3
98;0;0;0;0;0;0;1;1
99;0;3;0;0;0;0;1;1
100;0;3;0;0;0;0;3;2
101;0;2;0;0;0;0;3;2
102;2;2;0;2;0;3;3;3
103;2;2;0;2;0;3;3;3
104;0;0;3;0;0;3;2;0
105;0;0;0;0;0;0;0;0
106;0;0;0;0;0;0;0;0
107;3;0;0;0;0;3;3;3
108;3;0;0;0;0;3;3;3
109;3;0;0;0;0;3;3;3
110;3;0;0;0;0;3;3;3
111;3;0;1;0;0;2;3;3
112;0;3;0;0;0;3;3;3
113;0;3;0;0;0;3;3;3
114;0;3;3;3;2;3;2;3
115;0;3;0;1;0;3;2;2
116;3;0;0;0;0;3;3;3
117;0;3;0;0;0;3;2;2
118;3;0;1;0;0;2;3;3
119;0;3;0;0;0;3;2;2
120;0;3;0;0;0;3;1;3
